checkpoint,method,object,seed,final_lift_m,max_lift_m,normalized_lift_score,success,success_step,trajectory_id
epoch_050,baseline,cellphone,0,-0.0022547245025634766,0.0005432367324829102,0.0018107891082763672,False,-1,8
epoch_050,baseline,cellphone,0,-0.0013111233711242676,0.0023112893104553223,0.007704297701517741,False,-1,9
epoch_050,baseline,cellphone,0,-0.0022577643394470215,0.0005412697792053223,0.0018042325973510742,False,-1,10
epoch_050,baseline,cellphone,0,-0.00045180320739746094,0.0,0.0,False,-1,11
epoch_050,baseline,cellphone,0,-0.001070559024810791,0.00569075345993042,0.018969178199768066,False,-1,12
epoch_050,baseline,cellphone,0,-0.0022587180137634277,0.0005409717559814453,0.0018032391866048179,False,-1,13
epoch_050,baseline,cellphone,0,7.480382919311523e-05,7.712841033935547e-05,0.00025709470113118493,False,-1,14
epoch_050,baseline,cellphone,0,6.99758529663086e-05,8.0108642578125e-05,0.00026702880859375,False,-1,15
epoch_050,baseline,cellphone,0,-0.0022641420364379883,0.000536501407623291,0.0017883380254109702,False,-1,16
epoch_050,baseline,cellphone,0,-1.0251998901367188e-05,0.0,0.0,False,-1,17
epoch_050,baseline,cellphone,0,7.587671279907227e-05,7.778406143188477e-05,0.0002592802047729492,False,-1,18
epoch_050,baseline,cellphone,0,-2.2411346435546875e-05,0.0,0.0,False,-1,19
epoch_100,baseline,cellphone,0,2.086162567138672e-06,2.205371856689453e-06,7.351239522298178e-06,False,-1,0
epoch_100,baseline,cellphone,0,-0.028808772563934326,0.002140641212463379,0.007135470708211264,False,-1,1
epoch_100,baseline,cellphone,0,2.384185791015625e-07,4.76837158203125e-07,1.5894571940104167e-06,False,-1,2
epoch_100,baseline,cellphone,0,-0.014473438262939453,0.006611883640289307,0.02203961213429769,False,-1,3
epoch_100,baseline,cellphone,0,-0.0014889240264892578,0.000386655330657959,0.0012888511021931968,False,-1,4
epoch_100,baseline,cellphone,0,-0.001061081886291504,0.002224862575531006,0.0074162085851033534,False,-1,5
epoch_100,baseline,cellphone,0,-0.0022756457328796387,0.000529170036315918,0.00176390012105306,False,-1,6
epoch_100,baseline,cellphone,0,-0.0014790892601013184,0.00036919116973876953,0.0012306372324625652,False,-1,7
epoch_100,baseline,cellphone,0,-0.0022547245025634766,0.0005432367324829102,0.0018107891082763672,False,-1,8
epoch_100,baseline,cellphone,0,-0.0013115406036376953,0.002210557460784912,0.007368524869283041,False,-1,9
epoch_100,baseline,cellphone,0,-0.0022583603858947754,0.0005407333374023438,0.0018024444580078125,False,-1,10
epoch_100,baseline,cellphone,0,-0.0004521012306213379,0.0,0.0,False,-1,11
epoch_100,baseline,cellphone,0,-0.0013076066970825195,0.0022150278091430664,0.007383426030476889,False,-1,12
epoch_100,baseline,cellphone,0,-0.002258777618408203,0.0005410313606262207,0.001803437868754069,False,-1,13
epoch_100,baseline,cellphone,0,1.895427703857422e-05,0.006015956401824951,0.02005318800608317,False,-1,14
epoch_100,baseline,cellphone,0,4.184246063232422e-05,0.006179928779602051,0.020599762598673504,False,-1,15
epoch_100,baseline,cellphone,0,-0.0022639036178588867,0.0005362629890441895,0.0017875432968139648,False,-1,16
epoch_100,baseline,cellphone,0,-5.346536636352539e-05,0.010200321674346924,0.03400107224782308,False,-1,17
epoch_100,baseline,cellphone,0,-0.014391899108886719,0.005053699016571045,0.016845663388570152,False,-1,18
epoch_100,baseline,cellphone,0,-4.595518112182617e-05,0.004150867462158203,0.013836224873860678,False,-1,19
best,baseline,usb_stick,0,1.5974044799804688e-05,0.000268399715423584,0.0008946657180786133,False,-1,0
best,baseline,usb_stick,0,-2.384185791015625e-07,0.0002257227897644043,0.000752409299214681,False,-1,1
best,baseline,usb_stick,0,-0.07170820236206055,1.4781951904296875e-05,4.927317301432292e-05,False,-1,2
best,baseline,usb_stick,0,-0.035974979400634766,0.00041288137435913086,0.0013762712478637695,False,-1,3
best,baseline,usb_stick,0,-6.61015510559082e-05,0.0,0.0,False,-1,4
best,baseline,usb_stick,0,-4.124641418457031e-05,0.0002676248550415039,0.0008920828501383464,False,-1,5
best,baseline,usb_stick,0,-0.047952115535736084,0.0005450248718261719,0.0018167495727539062,False,-1,6
best,baseline,usb_stick,0,-3.534555435180664e-05,0.0,0.0,False,-1,7
best,baseline,usb_stick,0,-0.047962188720703125,0.0005412697792053223,0.0018042325973510742,False,-1,8
best,baseline,usb_stick,0,0.4887516498565674,0.4887516498565674,1.0,True,42,9
best,baseline,usb_stick,0,2.086162567138672e-06,0.001488029956817627,0.004960099856058757,False,-1,10
best,baseline,usb_stick,0,-0.03597915172576904,0.5378883481025696,1.0,True,36,11
best,baseline,usb_stick,0,3.933906555175781e-06,0.00022870302200317383,0.0007623434066772461,False,-1,12
best,baseline,usb_stick,0,-0.07170224189758301,0.6495268940925598,1.0,True,33,13
